AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,COMMIS,SALES_PRICE
Karapakkam,1004,131,1.0,1.0,3,AbNormal,Yes,Commercial,AllPub,Paved,A,4.0,3.9,4.9,4.33,144400,7600000
Anna Nagar,1986,26,2.0,1.0,5,AbNormal,No,Commercial,AllPub,Gravel,RH,4.9,4.2,2.5,3.765,304049,21717770
Adyar,909,70,1.0,1.0,3,AbNormal,Yes,Commercial,ELO,Gravel,RL,4.1,3.8,2.2,3.09,92114,13159200
Velachery,1855,14,3.0,2.0,5,Family,No,Others,NoSewr ,Paved,I,4.7,3.9,3.6,4.01,77042,9630290
Karapakkam,1226,84,1.0,1.0,3,AbNormal,Yes,Others,AllPub,Gravel,C,3.0,2.5,4.1,3.29,74063,7406250
Chrompet,1220,36,2.0,1.0,4,Partial,No,Commercial,NoSeWa,No Access,RH,4.5,2.6,3.1,3.32,198316,12394750
Chrompet,1167,137,1.0,1.0,3,Partial,No,Others,AllPub,No Access,RL,3.6,2.1,2.5,2.67,33955,8488790
Velachery,1847,176,3.0,2.0,5,Family,No,Commercial,AllPub,Gravel,RM,2.4,4.5,2.1,3.26,235204,16800250
Chrompet,771,175,1.0,1.0,2,AdjLand,No,Others,NoSewr ,Paved,RM,2.9,3.7,4.0,3.55,33236,8308970
Velachery,1635,74,2.0,1.0,4,AbNormal,No,Others,ELO,No Access,I,3.1,3.1,3.3,3.16,121255,8083650
Chrompet,1203,78,2.0,1.0,4,AdjLand,Yes,Commercial,AllPub,No Access,RM,4.0,3.2,4.5,3.83,119504,14938000
Chrompet,1054,143,1.0,1.0,3,Partial,No,Others,NoSewr ,Gravel,RM,2.2,3.1,3.3,2.89,141746,9449730
Chrompet,1196,137,1.0,1.0,3,Family,No,Others,NoSewr ,No Access,RL,2.1,2.5,2.1,2.26,35097,8774370
Adyar,1056,83,1.0,1.0,3,Partial,Yes,Others,NoSewr ,Paved,RH,2.2,3.4,3.7,3.19,37546,9386490
Velachery,1865,157,3.0,2.0,5,Family,No,Commercial,NoSewr ,Paved,RM,4.8,2.2,4.9,3.66,294494,15499680
Velachery,1868,148,3.0,2.0,5,Family,No,Commercial,NoSewr ,Gravel,RH,3.8,3.8,3.1,[4.26666667 3.86666667 3.36666667 ... 3.8        4.16666667 3.63333333],188569,15714080
Karapakkam,1639,175,2.0,2.0,4,Normal Sale,Yes,House,ELO,Gravel,I,2.3,3.2,4.8,3.57,77904,8656000
Chrompet,796,134,1.0,1.0,2,AdjLand,Yes,Commercial,AllPub,No Access,RL,3.5,4.6,4.7,4.3,130951,10912550
Adyar,1136,69,1.0,1.0,3,Normal Sale,Yes,Others,AllPub,Paved,A,4.6,2.6,2.9,3.35,49725,8287550
Anna Nagar,1902,168,2.0,1.0,5,Family,Yes,Commercial,ELO,Paved,RL,4.5,4.9,4.9,4.76,212032,21203240
Chrompet,1069,53,1.0,1.0,3,AbNormal,Yes,Others,NoSewr ,Paved,RM,2.8,2.7,4.9,3.39,43622,10905530
Chrompet,931,96,1.0,1.0,3,AbNormal,Yes,Others,ELO,Paved,RL,4.2,3.1,3.1,3.43,27558,9185970
KK Nagar,2010,114,3.0,2.0,5,Partial,No,Others,NoSewr ,Gravel,RH,3.4,4.5,3.4,3.73,262210,10925400
Chrompet,1074,100,1.0,1.0,3,AbNormal,No,Others,NoSewr ,Gravel,RL,3.0,3.4,4.9,3.73,86646,9627380
T Nagar,1972,111,2.0,1.0,5,AdjLand,No,Others,NoSewr ,No Access,RH,4.1,4.4,2.8,3.59,167073,13922760
T Nagar,1685,105,1.0,1.0,4,Family,No,House,NoSewr ,Gravel,RM,2.8,4.4,4.0,3.74,176415,12601080
Adyar,1130,29,1.0,1.0,3,Family,Yes,Commercial,ELO,Paved,RH,2.3,2.5,2.2,2.29,53533,13383350
Karapakkam,1301,59,1.0,1.0,3,Normal Sale,Yes,Others,NoSewr ,Gravel,C,2.8,2.7,3.8,3.17,71457,7939625
Adyar,730,185,1.0,1.0,2,AdjLand,Yes,House,ELO,Gravel,RL,2.7,4.6,4.9,4.18,53090,8848285
T Nagar,1806,138,2.0,1.0,5,Family,No,House,NoSeWa,Paved,RH,4.1,5.0,3.0,3.83,113382,11338200
Anna Nagar,1981,173,2.0,1.0,5,AdjLand,No,House,ELO,No Access,RL,2.0,3.1,3.2,2.755,218831,12872430
Adyar,868,15,1.0,1.0,3,Normal Sale,No,Others,NoSeWa,Gravel,RL,2.3,2.1,2.0,2.11,72336,9042050
T Nagar,1721,117,1.0,1.0,4,AdjLand,Yes,Others,ELO,Paved,RM,2.0,2.8,2.9,2.605,223116,14874380
Velachery,1755,16,2.0,1.0,4,AdjLand,Yes,Others,AllPub,Gravel,A,4.8,4.5,4.5,4.58,173780,10222380
Anna Nagar,1709,130,1.0,1.0,4,Family,No,Others,NoSeWa,Gravel,RH,4.8,3.2,4.3,4.2,90500,12928590
KK Nagar,2114,46,3.0,2.0,5,AdjLand,Yes,Commercial,NoSeWa,Gravel,RH,2.7,3.0,3.9,3.27,281037,17564820
Karapakkam,1226,180,1.0,1.0,3,Normal Sale,No,House,AllPub,Paved,A,4.0,3.7,4.7,4.19,114339,4971250
